500 2.122000e-06
1000 2.371000e-06
1500 2.558667e-06
2000 2.667500e-06
2500 2.776800e-06
3000 2.886000e-06
3500 2.937143e-06
4000 3.018750e-06
4500 3.109556e-06
5000 3.154200e-06
