4 26
8 82
12 170
16 290
20 442
24 626
28 842
32 1090
36 1370
40 1682
44 2026
48 2402
52 2810
56 3250
60 3722
64 4226
68 4762
72 5330
76 5930
80 6562
84 7226
88 7922
92 8650
96 9410
100 10202
